park_name,park_slug,state,park_url,address,latitude,longitude,phone_general,phone_camping,phone_other,has_rv_camping,rv_sites_count,has_tent_camping,tent_sites_count,primitive_camping,max_rig_length_ft,pull_through_available,electric_30amp,electric_50amp,water_hookup,sewer_hookup,dump_station,full_hookups,showers,laundry,wifi,cell_signal_notes,pet_friendly,ada_sites,waterfront_sites,lake_river_access,hiking,fishing,swimming,boat_ramp,golf,open_year_round,seasonal_notes,reservation_url,ada_restrooms,ada_trails,ada_water_access,overall_rating,google_place_id,google_maps_url,google_rating,google_review_count,rating_site_quality,rating_hookup_reliability,rating_cleanliness,rating_scenery,rating_connectivity,rating_noise,rating_value,description_text,campground_text,sub_page_urls,scraped_at
Nancy Lake State Recreation Area,nancy-lake-state-recreation-area,AK,https://dnr.alaska.gov/parks/aspunits/matsu/nancylksra.htm,"Nancy Lake Pkwy, Willow, AK 99688, USA",61.6620937,-150.1073699,,,,True,30,True,20,True,35,False,True,False,False,False,False,False,False,False,False,,True,True,True,True,True,True,True,True,False,True,,https://alaskastateparks.reserveamerica.com/unifSearch.do?keyword=Nancy+Lake+State+Recreation+Area,False,False,False,4.4,ChIJ26sWjrjSyFYRSqrZ8YmEnXc,https://www.google.com/maps/search/?api=1&query=Nancy%20Lake%20State%20Recreation%20Area%2C%20Alaska&query_place_id=ChIJ26sWjrjSyFYRSqrZ8YmEnXc,4.4,138,,,,,,,,"Nancy Lake State Recreation Area is a flat, lake-filled landscape perfect for canoeing, hiking, and primitive camping. Unlike much of Alaska, it features quiet waters surrounded by birch and spruce forests.","Nancy Lake State Recreation Area is a flat, lake-filled landscape perfect for canoeing, hiking, and primitive camping. Unlike much of Alaska, it features quiet waters surrounded by birch and spruce forests.",,2026-05-22 21:38:42
Byers Lake Campground,byers-lake-campground,AK,https://dnr.alaska.gov/parks/aspunits/matsu/byerslkcamp.htm,"Trapper Creek, AK 99683, USA",62.74690889999999,-150.117049,,,,True,73,True,30,True,40,True,True,False,False,False,False,False,False,False,False,,True,True,True,True,True,True,False,True,False,True,,https://alaskastateparks.reserveamerica.com/unifSearch.do?keyword=Byers+Lake+Campground,False,False,False,4.4,ChIJ752kgEQpzFYR2kbWSVirS4Q,https://www.google.com/maps/search/?api=1&query=Byers%20Lake%20Campground%2C%20Alaska&query_place_id=ChIJ752kgEQpzFYR2kbWSVirS4Q,4.4,68,,,,,,,,"Located in Denali State Park, Byers Lake Campground offers spectacular mountain views, hiking trails around the lake, kayaking, and excellent fishing. No motorized boats are allowed, keeping it serene.","Located in Denali State Park, Byers Lake Campground offers spectacular mountain views, hiking trails around the lake, kayaking, and excellent fishing. No motorized boats are allowed, keeping it serene.",,2026-05-22 21:38:43
Anchor River State Recreation Area,anchor-river-state-recreation-area,AK,https://dnr.alaska.gov/parks/aspunits/kenai/anchorpt.htm,"74272 Anchor Point Rd, Anchor Point, AK 99556, USA",59.77348229999999,-151.8670265,,,,True,90,True,40,True,38,False,True,False,False,False,False,False,False,False,False,,True,True,True,True,True,True,False,True,False,True,,https://alaskastateparks.reserveamerica.com/unifSearch.do?keyword=Anchor+River+State+Recreation+Area,False,False,False,4.8,ChIJa32-Ct9KwVYRZzxrJmWmFNA,https://www.google.com/maps/search/?api=1&query=Anchor%20River%20State%20Recreation%20Area%2C%20Alaska&query_place_id=ChIJa32-Ct9KwVYRZzxrJmWmFNA,4.8,71,,,,,,,,Anchor River State Recreation Area is a premier destination for salmon and steelhead fishing on the Kenai Peninsula. Campgrounds stretch along the river down to the beach on Cook Inlet.,Anchor River State Recreation Area is a premier destination for salmon and steelhead fishing on the Kenai Peninsula. Campgrounds stretch along the river down to the beach on Cook Inlet.,,2026-05-22 21:38:44
Deep Creek State Recreation Area,deep-creek-state-recreation-area,AK,https://dnr.alaska.gov/parks/aspunits/kenai/deepcreeksra.htm,"16965 Sterling Hwy, Ninilchik, AK 99639, USA",60.027711,-151.701076,,,,True,100,True,30,True,40,True,True,False,False,False,False,False,False,False,False,,True,True,True,True,True,True,False,True,False,True,,https://alaskastateparks.reserveamerica.com/unifSearch.do?keyword=Deep+Creek+State+Recreation+Area,False,False,False,4.7,ChIJb6pj6r-7xlYRD97cDQiQ9eI,https://www.google.com/maps/search/?api=1&query=Deep%20Creek%20State%20Recreation%20Area%2C%20Alaska&query_place_id=ChIJb6pj6r-7xlYRD97cDQiQ9eI,4.7,154,,,,,,,,"Deep Creek State Recreation Area is famous for its tractor-launch boat service on the beach, letting saltwater anglers target massive halibut and king salmon in Cook Inlet. Scenic ocean camping.","Deep Creek State Recreation Area is famous for its tractor-launch boat service on the beach, letting saltwater anglers target massive halibut and king salmon in Cook Inlet. Scenic ocean camping.",,2026-05-22 21:38:44
Ninilchik State Recreation Area,ninilchik-state-recreation-area,AK,https://dnr.alaska.gov/parks/aspunits/kenai/ninilsragen.htm,"Ninilchik, AK 99639, USA",60.0511677,-151.663035,,,,True,165,True,50,True,40,True,True,False,False,False,False,False,False,False,False,,True,True,True,True,True,True,False,False,False,True,,https://alaskastateparks.reserveamerica.com/unifSearch.do?keyword=Ninilchik+State+Recreation+Area,False,False,False,5,ChIJnZXaSdy9xlYRgmXDUSE4FEs,https://www.google.com/maps/search/?api=1&query=Ninilchik%20State%20Recreation%20Area%2C%20Alaska&query_place_id=ChIJnZXaSdy9xlYRgmXDUSE4FEs,5,1,,,,,,,,"Ninilchik State Recreation Area sits on a bluff overlooking the historic village of Ninilchik, Cook Inlet, and volcanic peaks. Excellent base camp for clamming and salmon fishing.","Ninilchik State Recreation Area sits on a bluff overlooking the historic village of Ninilchik, Cook Inlet, and volcanic peaks. Excellent base camp for clamming and salmon fishing.",,2026-05-22 21:38:45
Johnson Lake State Recreation Area,johnson-lake-state-recreation-area,AK,https://dnr.alaska.gov/parks/aspunits/kenai/johnsonlksra.htm,"21501 Crooked Creek Rd, Kasilof, AK 99610, USA",60.29982769999999,-151.2683641,,,,True,50,True,20,True,35,False,True,False,False,False,False,False,False,False,False,,True,True,True,True,True,True,True,True,False,True,,https://alaskastateparks.reserveamerica.com/unifSearch.do?keyword=Johnson+Lake+State+Recreation+Area,False,False,False,5,ChIJu1hYpsCNxlYRDJAvprISQnM,https://www.google.com/maps/search/?api=1&query=Johnson%20Lake%20State%20Recreation%20Area%2C%20Alaska&query_place_id=ChIJu1hYpsCNxlYRDJAvprISQnM,5,8,,,,,,,,"Johnson Lake State Recreation Area features a wooded campground surrounding a quiet, warm lake on the Kenai Peninsula. It offers family-friendly camping, canoeing, trout fishing, and a playground.","Johnson Lake State Recreation Area features a wooded campground surrounding a quiet, warm lake on the Kenai Peninsula. It offers family-friendly camping, canoeing, trout fishing, and a playground.",,2026-05-22 21:38:46
Clam Gulch State Recreation Area,clam-gulch-state-recreation-area,AK,https://dnr.alaska.gov/parks/aspunits/kenai/clamgulchsra.htm,"17467 Clam Gulch Rd, Clam Gulch, AK 99568, USA",60.238708,-151.3956181,,,,True,120,True,30,True,40,False,True,False,False,False,False,False,False,False,False,,True,True,True,True,True,True,False,False,False,True,,https://alaskastateparks.reserveamerica.com/unifSearch.do?keyword=Clam+Gulch+State+Recreation+Area,False,False,False,4.6,ChIJFWZYQH-RxlYR66voHcKgu0g,https://www.google.com/maps/search/?api=1&query=Clam%20Gulch%20State%20Recreation%20Area%2C%20Alaska&query_place_id=ChIJFWZYQH-RxlYR66voHcKgu0g,4.6,89,,,,,,,,Clam Gulch State Recreation Area sits high on a bluff with panoramic views of Cook Inlet and the Alaska Range volcanoes. Historically famous for razor clamming on the beaches below.,Clam Gulch State Recreation Area sits high on a bluff with panoramic views of Cook Inlet and the Alaska Range volcanoes. Historically famous for razor clamming on the beaches below.,,2026-05-22 21:38:47
Captain Cook State Recreation Area,captain-cook-state-recreation-area,AK,https://dnr.alaska.gov/parks/aspunits/kenai/captcook.htm,"Kenai Spur Hwy, Nikiski, AK 99611, USA",60.7829484,-151.0564326,,,,True,40,True,20,True,35,False,True,False,False,False,False,False,False,False,False,,True,True,True,True,True,True,True,True,False,True,,https://alaskastateparks.reserveamerica.com/unifSearch.do?keyword=Captain+Cook+State+Recreation+Area,False,False,False,4.6,ChIJYR8y2W1zxlYRJkT9u5D0YQA,https://www.google.com/maps/search/?api=1&query=Captain%20Cook%20State%20Recreation%20Area%2C%20Alaska&query_place_id=ChIJYR8y2W1zxlYRJkT9u5D0YQA,4.6,129,,,,,,,,"Captain Cook State Recreation Area offers a peaceful escape on the northern Kenai Peninsula, featuring forests, lakes, rivers, and saltwater beaches on Cook Inlet. Great for canoeing and beach combing.","Captain Cook State Recreation Area offers a peaceful escape on the northern Kenai Peninsula, featuring forests, lakes, rivers, and saltwater beaches on Cook Inlet. Great for canoeing and beach combing.",,2026-05-22 21:38:48
Harding Lake State Recreation Area,harding-lake-state-recreation-area,AK,https://dnr.alaska.gov/parks/aspunits/northern/hardinglksra.htm,"Salcha, AK 99714, USA",64.4409776,-146.8688268,,,,True,90,True,30,True,40,True,True,False,False,False,False,False,True,False,False,,True,True,True,True,True,True,True,True,False,True,,https://alaskastateparks.reserveamerica.com/unifSearch.do?keyword=Harding+Lake+State+Recreation+Area,False,False,False,4.6,ChIJZ4DGWySgM1ER_9R4gDBkxZA,https://www.google.com/maps/search/?api=1&query=Harding%20Lake%20State%20Recreation%20Area%2C%20Alaska&query_place_id=ChIJZ4DGWySgM1ER_9R4gDBkxZA,4.6,90,,,,,,,,"Located southeast of Fairbanks, Harding Lake State Recreation Area is a popular interior Alaska park featuring a large lake for water skiing, swimming, trout fishing, and fully wooded campsite loops.","Located southeast of Fairbanks, Harding Lake State Recreation Area is a popular interior Alaska park featuring a large lake for water skiing, swimming, trout fishing, and fully wooded campsite loops.",,2026-05-22 21:38:49
Chena River State Recreation Area,chena-river-state-recreation-area,AK,https://dnr.alaska.gov/parks/aspunits/northern/chenariversra.htm,"Chena Hot Springs Rd, Fairbanks, AK 99712, USA",64.9077365,-146.3474842,,,,True,80,True,40,True,38,False,True,False,False,False,False,False,False,False,False,,True,True,False,True,True,True,False,True,False,True,,https://alaskastateparks.reserveamerica.com/unifSearch.do?keyword=Chena+River+State+Recreation+Area,False,False,False,4.6,ChIJx9cJCijFM1ERpyipaT3Hhus,https://www.google.com/maps/search/?api=1&query=Chena%20River%20State%20Recreation%20Area%2C%20Alaska&query_place_id=ChIJx9cJCijFM1ERpyipaT3Hhus,4.6,263,,,,,,,,"Chena River State Recreation Area covers 250,000 acres of forested hills and river valleys near Fairbanks. Campers can paddle the river, hike the famous Angel Rocks trail, and soak in nearby hot springs.","Chena River State Recreation Area covers 250,000 acres of forested hills and river valleys near Fairbanks. Campers can paddle the river, hike the famous Angel Rocks trail, and soak in nearby hot springs.",,2026-05-22 21:38:49
