park_name,park_slug,state,park_url,address,latitude,longitude,phone_general,phone_camping,phone_other,has_rv_camping,rv_sites_count,has_tent_camping,tent_sites_count,primitive_camping,max_rig_length_ft,pull_through_available,electric_30amp,electric_50amp,water_hookup,sewer_hookup,dump_station,full_hookups,showers,laundry,wifi,cell_signal_notes,pet_friendly,ada_sites,waterfront_sites,lake_river_access,hiking,fishing,swimming,boat_ramp,golf,open_year_round,seasonal_notes,reservation_url,ada_restrooms,ada_trails,ada_water_access,overall_rating,google_place_id,google_maps_url,google_rating,google_review_count,rating_site_quality,rating_hookup_reliability,rating_cleanliness,rating_scenery,rating_connectivity,rating_noise,rating_value,description_text,campground_text,sub_page_urls,scraped_at
Alamo Lake State Park,alamo-lake-state-park,AZ,https://www.arizonastateparks.com/alamo-lake-state-park,"Alamo Rd, Wenden, AZ 85357, USA",34.2419122,-113.573311,,,,True,250,True,50,True,50,True,True,True,True,True,True,True,True,False,False,,True,True,True,True,True,True,True,True,False,True,,https://www.arizonastateparks.com/alamo-lake-state-park,False,False,False,4.6,ChIJbZQyR6my04ARK_9-41wg4UM,https://www.google.com/maps/search/?api=1&query=Alamo%20Lake%20State%20Park%2C%20Arizona&query_place_id=ChIJbZQyR6my04ARK_9-41wg4UM,4.6,474,,,,,,,,"Alamo Lake State Park is one of the best places to fish for bass and view the starry night skies in Arizona. Nestled in the Bill Williams River Valley, the park offers premier camping, boating, and outdoor recreation.","Alamo Lake State Park is one of the best places to fish for bass and view the starry night skies in Arizona. Nestled in the Bill Williams River Valley, the park offers premier camping, boating, and outdoor recreation.",,2026-05-22 21:38:29
Buckskin Mountain State Park,buckskin-mountain-state-park,AZ,https://www.arizonastateparks.com/buckskin-mountain-state-park,"5476 AZ-95, Parker, AZ 85344, USA",34.2559683,-114.1603572,,,,True,80,True,20,False,45,False,True,True,True,False,True,False,True,True,True,,True,True,True,True,True,True,True,True,False,True,,https://www.arizonastateparks.com/buckskin-mountain-state-park,False,False,False,4.7,ChIJ2Wuw5HWH0YARruQ-gMPlxzY,https://www.google.com/maps/search/?api=1&query=Buckskin%20Mountain%20State%20Park%2C%20Arizona&query_place_id=ChIJ2Wuw5HWH0YARruQ-gMPlxzY,4.7,1246,,,,,,,,"Buckskin Mountain State Park commands a scenic view of the Parker Strip along the Colorado River. It offers water sports, hiking trails, and a lush green campground perfect for RVs and tents.","Buckskin Mountain State Park commands a scenic view of the Parker Strip along the Colorado River. It offers water sports, hiking trails, and a lush green campground perfect for RVs and tents.",,2026-05-22 21:38:30
Catalina State Park,catalina-state-park,AZ,https://www.arizonastateparks.com/catalina-state-park,"11570 N Oracle Rd, Tucson, AZ 85737, USA",32.436433,-110.909647,,,,True,120,True,30,True,45,True,True,True,True,False,True,False,True,False,True,,True,True,False,True,True,False,False,False,False,True,,https://www.arizonastateparks.com/catalina-state-park,False,False,False,4.7,ChIJ09NlRfQN1oYRn3QRlQ_8V-s,https://www.google.com/maps/search/?api=1&query=Catalina%20State%20Park%2C%20Arizona&query_place_id=ChIJ09NlRfQN1oYRn3QRlQ_8V-s,4.7,1888,,,,,,,,"Catalina State Park sits at the base of the majestic Santa Catalina Mountains. The park is a haven for desert plants, wildlife, and nearly 150 species of birds, featuring miles of hiking and equestrian trails.","Catalina State Park sits at the base of the majestic Santa Catalina Mountains. The park is a haven for desert plants, wildlife, and nearly 150 species of birds, featuring miles of hiking and equestrian trails.",,2026-05-22 21:38:31
Cattail Cove State Park,cattail-cove-state-park,AZ,https://www.arizonastateparks.com/cattail-cove-state-park,"AZ-95, Lake Havasu City, AZ 86406, USA",34.3515143,-114.1697365,,,,True,64,True,15,True,40,False,True,True,True,False,True,False,True,False,False,,True,True,True,True,True,True,True,True,False,True,,https://www.arizonastateparks.com/cattail-cove-state-park,False,False,False,4.7,ChIJmyyQic6J0YARru3U99YWGI4,https://www.google.com/maps/search/?api=1&query=Cattail%20Cove%20State%20Park%2C%20Arizona&query_place_id=ChIJmyyQic6J0YARru3U99YWGI4,4.7,1125,,,,,,,,"Cattail Cove State Park offers a safe harbor and beach along Lake Havasu. Campers can enjoy boating, fishing, and lounging on the sandy beach surrounded by scenic desert hills.","Cattail Cove State Park offers a safe harbor and beach along Lake Havasu. Campers can enjoy boating, fishing, and lounging on the sandy beach surrounded by scenic desert hills.",,2026-05-22 21:38:32
Dead Horse Ranch State Park,dead-horse-ranch-state-park,AZ,https://www.arizonastateparks.com/dead-horse-ranch-state-park,"675 Dead Horse Ranch Rd, Cottonwood, AZ 86326, USA",34.7537237,-112.0215606,,,,True,150,True,40,True,50,True,True,True,True,False,True,False,True,False,True,,True,True,False,True,True,True,False,False,False,True,,https://www.arizonastateparks.com/dead-horse-ranch-state-park,False,False,False,4.6,ChIJTYXsobkPLYcRBdqOzC_yZh8,https://www.google.com/maps/search/?api=1&query=Dead%20Horse%20Ranch%20State%20Park%2C%20Arizona&query_place_id=ChIJTYXsobkPLYcRBdqOzC_yZh8,4.6,1232,,,,,,,,"Located in Cottonwood in the Verde Valley, Dead Horse Ranch State Park features lagoons for fishing, miles of river access, hiking and biking trails, and spacious campground loops with electricity and water.","Located in Cottonwood in the Verde Valley, Dead Horse Ranch State Park features lagoons for fishing, miles of river access, hiking and biking trails, and spacious campground loops with electricity and water.",,2026-05-22 21:38:33
Fool Hollow Lake Recreation Area,fool-hollow-lake-recreation-area,AZ,https://www.arizonastateparks.com/fool-hollow-lake-recreation-area,"1500 Fools Hollow Rd, Show Low, AZ 85901, USA",34.2720518,-110.0695438,,,,True,92,True,30,True,45,True,True,True,True,True,True,True,True,False,False,,True,True,True,True,True,True,True,True,False,True,,https://www.arizonastateparks.com/fool-hollow-lake-recreation-area,False,False,False,4.6,ChIJm9RwBHUzL4cRGD9htVYsE1o,https://www.google.com/maps/search/?api=1&query=Fool%20Hollow%20Lake%20Recreation%20Area%2C%20Arizona&query_place_id=ChIJm9RwBHUzL4cRGD9htVYsE1o,4.6,1481,,,,,,,,"Fool Hollow Lake offers year-round camping in the Apache-Sitgreaves National Forest at 6,300 feet elevation. Camp under tall pines along the shores of a sparkling 150-acre lake.","Fool Hollow Lake offers year-round camping in the Apache-Sitgreaves National Forest at 6,300 feet elevation. Camp under tall pines along the shores of a sparkling 150-acre lake.",,2026-05-22 21:38:33
Homolovi State Park,homolovi-state-park,AZ,https://www.arizonastateparks.com/homolovi-state-park,"AZ-87, Winslow, AZ 86047, USA",35.0464771,-110.6527338,,,,True,53,True,10,True,45,True,True,True,True,False,True,False,True,False,True,,True,True,False,False,True,False,False,False,False,True,,https://www.arizonastateparks.com/homolovi-state-park,False,False,False,4.5,ChIJERaDQytCLocRWS_FCVm_jDo,https://www.google.com/maps/search/?api=1&query=Homolovi%20State%20Park%2C%20Arizona&query_place_id=ChIJERaDQytCLocRWS_FCVm_jDo,4.5,1170,,,,,,,,Homolovi State Park serves as a center of research for the migration of the Hopi people from the 1200s to late 1300s. Campers can explore archeological sites and hike through red desert grasslands.,Homolovi State Park serves as a center of research for the migration of the Hopi people from the 1200s to late 1300s. Campers can explore archeological sites and hike through red desert grasslands.,,2026-05-22 21:38:34
Kartchner Caverns State Park,kartchner-caverns-state-park,AZ,https://www.arizonastateparks.com/kartchner-caverns-state-park,"2980 AZ-90, Benson, AZ 85602, USA",31.836596,-110.3488848,,,,True,62,True,10,False,45,True,True,True,True,False,True,False,True,False,True,,True,True,False,False,True,False,False,False,False,True,,https://www.arizonastateparks.com/kartchner-caverns-state-park,False,False,False,4.7,ChIJfZZsx-3h1oYR4PbOSRjuQ_0,https://www.google.com/maps/search/?api=1&query=Kartchner%20Caverns%20State%20Park%2C%20Arizona&query_place_id=ChIJfZZsx-3h1oYR4PbOSRjuQ_0,4.7,3879,,,,,,,,"Kartchner Caverns State Park features a massive, live limestone cave with world-class formations. The campground offers mountain views, water and electric hookups, and excellent hiking.","Kartchner Caverns State Park features a massive, live limestone cave with world-class formations. The campground offers mountain views, water and electric hookups, and excellent hiking.",,2026-05-22 21:38:35
Lake Havasu State Park,lake-havasu-state-park,AZ,https://www.arizonastateparks.com/lake-havasu-state-park,"699 London Bridge Rd, Lake Havasu City, AZ 86403, USA",34.49233400000001,-114.3599939,,,,True,47,True,10,False,45,False,True,True,True,False,True,False,True,False,True,,True,True,True,True,True,True,True,True,False,True,,https://www.arizonastateparks.com/lake-havasu-state-park,False,False,False,4.7,ChIJT3U9jMaM0YARexqPkuZLfZ8,https://www.google.com/maps/search/?api=1&query=Lake%20Havasu%20State%20Park%2C%20Arizona&query_place_id=ChIJT3U9jMaM0YARexqPkuZLfZ8,4.7,5060,,,,,,,,"Lake Havasu State Park is the perfect place to enjoy the water, sandy beaches, and boat ramps on Lake Havasu. The campground features electrical hookups and modern showers close to the shore.","Lake Havasu State Park is the perfect place to enjoy the water, sandy beaches, and boat ramps on Lake Havasu. The campground features electrical hookups and modern showers close to the shore.",,2026-05-22 21:38:36
Lost Dutchman State Park,lost-dutchman-state-park,AZ,https://www.arizonastateparks.com/lost-dutchman-state-park,"6109 N Apache Trail, Apache Junction, AZ 85119, USA",33.4638509,-111.4812549,,,,True,134,True,40,True,45,True,True,True,True,False,True,False,True,False,True,,True,True,False,False,True,False,False,False,False,True,,https://www.arizonastateparks.com/lost-dutchman-state-park,False,False,False,4.7,ChIJ17Bynfy3K4cR7PT1BU9KkWY,https://www.google.com/maps/search/?api=1&query=Lost%20Dutchman%20State%20Park%2C%20Arizona&query_place_id=ChIJ17Bynfy3K4cR7PT1BU9KkWY,4.7,3447,,,,,,,,"Named after the legendary lost gold mine, Lost Dutchman State Park is located in the Sonoran Desert at the base of the Superstition Mountains. It offers spectacular hiking, desert scenery, and campsites.","Named after the legendary lost gold mine, Lost Dutchman State Park is located in the Sonoran Desert at the base of the Superstition Mountains. It offers spectacular hiking, desert scenery, and campsites.",,2026-05-22 21:38:37
