park_name,park_slug,state,park_url,address,latitude,longitude,phone_general,phone_camping,phone_other,has_rv_camping,rv_sites_count,has_tent_camping,tent_sites_count,primitive_camping,max_rig_length_ft,pull_through_available,electric_30amp,electric_50amp,water_hookup,sewer_hookup,dump_station,full_hookups,showers,laundry,wifi,cell_signal_notes,pet_friendly,ada_sites,waterfront_sites,lake_river_access,hiking,fishing,swimming,boat_ramp,golf,open_year_round,seasonal_notes,reservation_url,ada_restrooms,ada_trails,ada_water_access,overall_rating,google_place_id,google_maps_url,google_rating,google_review_count,rating_site_quality,rating_hookup_reliability,rating_cleanliness,rating_scenery,rating_connectivity,rating_noise,rating_value,description_text,campground_text,sub_page_urls,scraped_at
Bull Shoals-White River State Park,bull-shoals-white-river-state-park,AR,https://www.arkansas.com/state-parks/explore/parks/bull-shoals-white-river-state-park,"153 Dam Overlook Ln, Lakeview, AR 72642, USA",36.3613517,-92.5738512,,,,True,103,True,20,True,50,True,True,True,True,True,True,True,True,False,True,,True,True,True,True,True,True,False,True,False,True,,https://www.arkansas.com/state-parks/explore/parks/bull-shoals-white-river-state-park,False,False,False,4.8,ChIJbRYqmu8kzocR0v6vpi6L7mA,https://www.google.com/maps/search/?api=1&query=Bull%20Shoals-White%20River%20State%20Park%2C%20Arkansas&query_place_id=ChIJbRYqmu8kzocR0v6vpi6L7mA,4.8,960,,,,,,,,Bull Shoals-White River State Park is a premier trout fishing destination below the massive Bull Shoals Dam. The riverside campgrounds feature full hookups and beautiful Ozark scenery.,Bull Shoals-White River State Park is a premier trout fishing destination below the massive Bull Shoals Dam. The riverside campgrounds feature full hookups and beautiful Ozark scenery.,,2026-05-22 21:38:53
Cane Creek State Park,cane-creek-state-park,AR,https://www.arkansas.com/state-parks/explore/parks/cane-creek-state-park,"50 State Pk Rd, Star City, AR 71667, USA",33.9174477,-91.7671278,,,,True,29,True,10,True,45,True,True,True,True,False,True,False,True,False,True,,True,True,True,True,True,True,False,True,False,True,,https://www.arkansas.com/state-parks/explore/parks/cane-creek-state-park,False,False,False,4.6,ChIJi0VW-e78LIYRAIrDNH3nYbU,https://www.google.com/maps/search/?api=1&query=Cane%20Creek%20State%20Park%2C%20Arkansas&query_place_id=ChIJi0VW-e78LIYRAIrDNH3nYbU,4.6,403,,,,,,,,"Cane Creek State Park sits where the rolling hills of the West Gulf Coastal Plain meet the flat Mississippi Delta, offering excellent flat-water kayaking, fishing, and scenic wooded trails.","Cane Creek State Park sits where the rolling hills of the West Gulf Coastal Plain meet the flat Mississippi Delta, offering excellent flat-water kayaking, fishing, and scenic wooded trails.",,2026-05-22 21:38:54
Crowley's Ridge State Park,crowleys-ridge-state-park,AR,https://www.arkansas.com/state-parks/explore/parks/crowleys-ridge-state-park,"2092 AR-168 North, Paragould, AR 72450, USA",36.043365,-90.6639634,,,,True,26,True,18,True,40,False,True,True,True,False,True,False,True,False,True,,True,True,True,True,True,True,True,True,False,True,,https://www.arkansas.com/state-parks/explore/parks/crowleys-ridge-state-park,False,False,False,4.7,ChIJ02UJ51CD1ocRTABn7ZDrdak,https://www.google.com/maps/search/?api=1&query=Crowley%27s%20Ridge%20State%20Park%2C%20Arkansas&query_place_id=ChIJ02UJ51CD1ocRTABn7ZDrdak,4.7,447,,,,,,,,"Crowley's Ridge State Park is set in a unique geological formation of hardwood forest and sandy soil. Built by the CCC in the 1930s, it features rustic cabins, a swimming lake, and quiet campsites.","Crowley's Ridge State Park is set in a unique geological formation of hardwood forest and sandy soil. Built by the CCC in the 1930s, it features rustic cabins, a swimming lake, and quiet campsites.",,2026-05-22 21:38:54
Daisy State Park,daisy-state-park,AR,https://www.arkansas.com/state-parks/explore/parks/daisy-state-park,"103 E Park Rd, Kirby, AR 71950, USA",34.2336662,-93.740456,,,,True,103,True,25,True,45,True,True,True,True,False,True,False,True,False,False,,True,True,True,True,True,True,True,True,False,True,,https://www.arkansas.com/state-parks/explore/parks/daisy-state-park,False,False,False,4.7,ChIJ2YC4Pn5YM4YRJLSKnl-kqIQ,https://www.google.com/maps/search/?api=1&query=Daisy%20State%20Park%2C%20Arkansas&query_place_id=ChIJ2YC4Pn5YM4YRJLSKnl-kqIQ,4.7,866,,,,,,,,"Daisy State Park is nestled in the Ouachita Mountains on the shores of Lake Greeson, offering scenic views, boating, and access to the Bear Creek ATV trail system.","Daisy State Park is nestled in the Ouachita Mountains on the shores of Lake Greeson, offering scenic views, boating, and access to the Bear Creek ATV trail system.",,2026-05-22 21:38:55
Devil's Den State Park,devils-den-state-park,AR,https://www.arkansas.com/state-parks/explore/parks/devils-den-state-park,"11333 AR-74, West Fork, AR 72774, USA",35.7819774,-94.25268559999999,,,,True,135,True,40,True,50,True,True,True,True,True,True,True,True,False,True,,True,True,True,True,True,True,True,True,False,True,,https://www.arkansas.com/state-parks/explore/parks/devils-den-state-park,False,False,False,4.8,ChIJN1V7c2zXy4cRC5LW6ikRI-0,https://www.google.com/maps/search/?api=1&query=Devil%27s%20Den%20State%20Park%2C%20Arkansas&query_place_id=ChIJN1V7c2zXy4cRC5LW6ikRI-0,4.8,1739,,,,,,,,"Devil's Den State Park is an Ozark valley marvel featuring hand-cut CCC stone structures, unique rock crevices, wet caves, and excellent mountain biking and backpacking trails.","Devil's Den State Park is an Ozark valley marvel featuring hand-cut CCC stone structures, unique rock crevices, wet caves, and excellent mountain biking and backpacking trails.",,2026-05-22 21:38:56
Lake Catherine State Park,lake-catherine-state-park,AR,https://www.arkansas.com/state-parks/explore/parks/lake-catherine-state-park,"1200 Catherine Park Rd, Hot Springs, AR 71913, USA",34.4287378,-92.9226486,,,,True,70,True,15,True,45,True,True,True,True,True,True,True,True,False,True,,True,True,True,True,True,True,True,True,False,True,,https://www.arkansas.com/state-parks/explore/parks/lake-catherine-state-park,False,False,False,4.7,ChIJS0JQQJ7NMoYRx7DzMblT-iM,https://www.google.com/maps/search/?api=1&query=Lake%20Catherine%20State%20Park%2C%20Arkansas&query_place_id=ChIJS0JQQJ7NMoYRx7DzMblT-iM,4.7,3288,,,,,,,,"Lake Catherine State Park offers lakeside cabins and campgrounds near Hot Springs. Highlights include a waterfall trail, boat rentals on the calm lake, and guided horseback riding.","Lake Catherine State Park offers lakeside cabins and campgrounds near Hot Springs. Highlights include a waterfall trail, boat rentals on the calm lake, and guided horseback riding.",,2026-05-22 21:38:57
Lake Charles State Park,lake-charles-state-park,AR,https://www.arkansas.com/state-parks/explore/parks/lake-charles-state-park,"3705 AR-25, Powhatan, AR 72458, USA",36.0655624,-91.1528536,,,,True,60,True,15,True,45,True,True,True,True,False,True,False,True,False,False,,True,True,True,True,True,True,True,True,False,True,,https://www.arkansas.com/state-parks/explore/parks/lake-charles-state-park,False,False,False,4.6,ChIJ8euMpOmt1ocRcZb4DjqS_1s,https://www.google.com/maps/search/?api=1&query=Lake%20Charles%20State%20Park%2C%20Arkansas&query_place_id=ChIJ8euMpOmt1ocRcZb4DjqS_1s,4.6,997,,,,,,,,"Lake Charles State Park is a peaceful retreat on a 645-acre lake in northeast Arkansas, offering lakefront camping, swimming, and some of the best crappie and bass fishing in the region.","Lake Charles State Park is a peaceful retreat on a 645-acre lake in northeast Arkansas, offering lakefront camping, swimming, and some of the best crappie and bass fishing in the region.",,2026-05-22 21:38:58
Lake Chicot State Park,lake-chicot-state-park,AR,https://www.arkansas.com/state-parks/explore/parks/lake-chicot-state-park,"2542 State Hwy 257, Lake Village, AR 71653, USA",33.3719416,-91.1957801,,,,True,122,True,20,True,50,True,True,True,True,True,True,True,True,False,True,,True,True,True,True,True,True,True,True,False,True,,https://www.arkansas.com/state-parks/explore/parks/lake-chicot-state-park,False,False,False,4.5,ChIJCYcHCb71K4YRmdaxLli_9sE,https://www.google.com/maps/search/?api=1&query=Lake%20Chicot%20State%20Park%2C%20Arkansas&query_place_id=ChIJCYcHCb71K4YRmdaxLli_9sE,4.5,505,,,,,,,,"Lake Chicot State Park sits on the largest oxbow lake in North America, surrounded by pecan groves. Famous for birdwatching, fishing, and spacious full-hookup campsites.","Lake Chicot State Park sits on the largest oxbow lake in North America, surrounded by pecan groves. Famous for birdwatching, fishing, and spacious full-hookup campsites.",,2026-05-22 21:38:58
Lake Dardanelle State Park,lake-dardanelle-state-park,AR,https://www.arkansas.com/state-parks/explore/parks/lake-dardanelle-state-park,"100 State Park Drive, Russellville, AR 72802, USA",35.2829931,-93.20298269999999,,,,True,74,True,15,False,50,True,True,True,True,True,True,True,True,False,True,,True,True,True,True,True,True,True,True,False,True,,https://www.arkansas.com/state-parks/explore/parks/lake-dardanelle-state-park,False,False,False,4.8,ChIJabIm9RZRzIcRWO-zx8w0xw8,https://www.google.com/maps/search/?api=1&query=Lake%20Dardanelle%20State%20Park%2C%20Arkansas&query_place_id=ChIJabIm9RZRzIcRWO-zx8w0xw8,4.8,1900,,,,,,,,"Lake Dardanelle State Park is a major tournament fishing destination on the Arkansas River. The park features a world-class visitor center, fishing piers, and lakefront camping loops.","Lake Dardanelle State Park is a major tournament fishing destination on the Arkansas River. The park features a world-class visitor center, fishing piers, and lakefront camping loops.",,2026-05-22 21:38:59
Lake Fort Smith State Park,lake-fort-smith-state-park,AR,https://www.arkansas.com/state-parks/explore/parks/lake-fort-smith-state-park,"15458 Sheperd Springs Rd, Mountainburg, AR 72946, USA",35.6959506,-94.1188313,,,,True,30,True,15,True,45,True,True,True,True,True,True,True,True,False,True,,True,True,True,True,True,True,True,True,False,True,,https://www.arkansas.com/state-parks/explore/parks/lake-fort-smith-state-park,False,False,False,4.7,ChIJJ84PDOfcy4cRaKaztzquopc,https://www.google.com/maps/search/?api=1&query=Lake%20Fort%20Smith%20State%20Park%2C%20Arkansas&query_place_id=ChIJJ84PDOfcy4cRaKaztzquopc,4.7,1316,,,,,,,,"Lake Fort Smith State Park sits in a scenic valley in the Ozarks, serving as the western trailhead for the 165-mile Ozark Highlands Trail. Modern campground and cabins.","Lake Fort Smith State Park sits in a scenic valley in the Ozarks, serving as the western trailhead for the 165-mile Ozark Highlands Trail. Modern campground and cabins.",,2026-05-22 21:39:00
