park_name,park_slug,state,park_url,address,latitude,longitude,phone_general,phone_camping,phone_other,has_rv_camping,rv_sites_count,has_tent_camping,tent_sites_count,primitive_camping,max_rig_length_ft,pull_through_available,electric_30amp,electric_50amp,water_hookup,sewer_hookup,dump_station,full_hookups,showers,laundry,wifi,cell_signal_notes,pet_friendly,ada_sites,waterfront_sites,lake_river_access,hiking,fishing,swimming,boat_ramp,golf,open_year_round,seasonal_notes,reservation_url,ada_restrooms,ada_trails,ada_water_access,overall_rating,google_place_id,google_maps_url,google_rating,google_review_count,rating_site_quality,rating_hookup_reliability,rating_cleanliness,rating_scenery,rating_connectivity,rating_noise,rating_value,description_text,campground_text,sub_page_urls,scraped_at
Boyd Lake State Park,boyd-lake-state-park,CO,https://cpw.state.co.us/parks/boyd-lake-state-park,"3720 N County Rd 11C, Loveland, CO 80538",40.4374091,-105.0375469,,,,True,148,True,20,False,40,,,,,,,,,,False,,True,,True,,True,True,True,True,False,,,https://cpwshop.com/unifSearch.do?keyword=Boyd+Lake+State+Park,,,,,ChIJ5zTj_rBSaYcRBici35tBQSY,https://www.google.com/maps/search/?api=1&query=Boyd+Lake+State+Park&query_place_id=ChIJ5zTj_rBSaYcRBici35tBQSY,4.4,3023,,,,,,,,"Boyd Lake offers water sports, sailing, fishing, a swim beach, and modern pull-through RV campsites at the foot of the Rocky Mountains.","Boyd Lake offers water sports, sailing, fishing, a swim beach, and modern pull-through RV campsites at the foot of the Rocky Mountains.",,2026-05-24 18:00:00
Chatfield State Park,chatfield-state-park,CO,https://cpw.state.co.us/parks/chatfield-state-park,"11500 N Roxborough Park Rd, Littleton, CO 80125",39.5296252,-105.0823204,,,,True,197,True,40,False,40,,,,,,,,,,False,,True,,True,,True,True,True,True,False,,,https://cpwshop.com/unifSearch.do?keyword=Chatfield+State+Park,,,,,ChIJRzsreAp9a4cRph6eAfN-eeE,https://www.google.com/maps/search/?api=1&query=Chatfield+State+Park&query_place_id=ChIJRzsreAp9a4cRph6eAfN-eeE,4.6,7165,,,,,,,,"Nestled along the foothills near Denver, Chatfield features a massive reservoir for boating, a dog off-leash area, and full-hookup campsites.","Nestled along the foothills near Denver, Chatfield features a massive reservoir for boating, a dog off-leash area, and full-hookup campsites.",,2026-05-24 18:00:00
Cherry Creek State Park,cherry-creek-state-park,CO,https://cpw.state.co.us/parks/cherry-creek-state-park,"4201 S Parker Rd, Aurora, CO 80014",39.6201142,-104.8414341,,,,True,135,True,30,False,40,,,,,,,,,,False,,True,,True,,True,True,True,True,False,,,https://cpwshop.com/unifSearch.do?keyword=Cherry+Creek+State+Park,,,,,ChIJO9N8BMGIbIcR53Jr1zP5s3g,https://www.google.com/maps/search/?api=1&query=Cherry+Creek+State+Park&query_place_id=ChIJO9N8BMGIbIcR53Jr1zP5s3g,4.6,9591,,,,,,,,"Anchored around an 880-acre reservoir, this suburban state park offers diverse trails, water sports, and a wooded campground with full hookups.","Anchored around an 880-acre reservoir, this suburban state park offers diverse trails, water sports, and a wooded campground with full hookups.",,2026-05-24 18:00:00
Cheyenne Mountain State Park,cheyenne-mountain-state-park,CO,https://cpw.state.co.us/parks/cheyenne-mountain-state-park,"410 JL Ranch Heights Rd, Colorado Springs, CO 80926",38.7352964,-104.8194222,,,,True,51,True,10,False,40,,,,,,,,,,False,,True,,False,,True,False,False,False,False,,,https://cpwshop.com/unifSearch.do?keyword=Cheyenne+Mountain+State+Park,,,,,ChIJWTahD8VCE4cRgcEuWtBgYS0,https://www.google.com/maps/search/?api=1&query=Cheyenne+Mountain+State+Park&query_place_id=ChIJWTahD8VCE4cRgcEuWtBgYS0,4.7,2525,,,,,,,,"Situated at the base of Cheyenne Mountain, this park features pristine prairie-to-peak hiking trails and modern full-hookup sites.","Situated at the base of Cheyenne Mountain, this park features pristine prairie-to-peak hiking trails and modern full-hookup sites.",,2026-05-24 18:00:00
Eleven Mile State Park,eleven-mile-state-park,CO,https://cpw.state.co.us/parks/eleven-mile-state-park,"4224 County Road 92, Lake George, CO 80827",38.9303324,-105.5185613,,,,True,290,True,50,True,35,,,,,,,,,,False,,True,,True,,True,True,False,True,False,,,https://cpwshop.com/unifSearch.do?keyword=Eleven+Mile+State+Park,,,,,ChIJEy05Bzkza4cRE-Y_-04qVBs,https://www.google.com/maps/search/?api=1&query=Eleven+Mile+State+Park&query_place_id=ChIJEy05Bzkza4cRE-Y_-04qVBs,4.3,208,,,,,,,,"Renowned for its large reservoir, Eleven Mile is popular for trout and northern pike fishing, offering shoreline and backcountry campsites.","Renowned for its large reservoir, Eleven Mile is popular for trout and northern pike fishing, offering shoreline and backcountry campsites.",,2026-05-24 18:00:00
Golden Gate Canyon State Park,golden-gate-canyon-state-park,CO,https://cpw.state.co.us/parks/golden-gate-canyon-state-park,"92 Golden Gate Canyon Rd, Golden, CO 80403",39.7736712,-105.2358694,,,,True,130,True,40,True,35,,,,,,,,,,False,,True,,False,,True,True,False,False,False,,,https://cpwshop.com/unifSearch.do?keyword=Golden+Gate+Canyon+State+Park,,,,,ChIJaZ38Yam_a4cRhBs7Z7imOQU,https://www.google.com/maps/search/?api=1&query=Golden+Gate+Canyon+State+Park&query_place_id=ChIJaZ38Yam_a4cRhBs7Z7imOQU,4.8,2894,,,,,,,,"Located just 30 miles from Denver, Golden Gate features dense pine forests, rocky peaks, over 35 miles of hiking trails, and two campgrounds.","Located just 30 miles from Denver, Golden Gate features dense pine forests, rocky peaks, over 35 miles of hiking trails, and two campgrounds.",,2026-05-24 18:00:00
Jackson Lake State Park,jackson-lake-state-park,CO,https://cpw.state.co.us/parks/jackson-lake-state-park,"26262 Highway 144, Orchard, CO 80649",40.3231969,-104.1167951,,,,True,260,True,30,False,40,,,,,,,,,,False,,True,,True,,True,True,True,True,False,,,https://cpwshop.com/unifSearch.do?keyword=Jackson+Lake+State+Park,,,,,ChIJqXQNmNjZbYcReLW-Nir4TBY,https://www.google.com/maps/search/?api=1&query=Jackson+Lake+State+Park&query_place_id=ChIJqXQNmNjZbYcReLW-Nir4TBY,4.2,1676,,,,,,,,"Often called the 'oasis in the plains,' Jackson Lake is a premier destination for boating, jet skiing, swimming, and stargazing.","Often called the 'oasis in the plains,' Jackson Lake is a premier destination for boating, jet skiing, swimming, and stargazing.",,2026-05-24 18:00:00
Lake Pueblo State Park,lake-pueblo-state-park,CO,https://cpw.state.co.us/parks/lake-pueblo-state-park,"640 Pueblo Reservoir Rd, Pueblo, CO 81005",38.2710678,-104.7192862,,,,True,400,True,50,False,45,,,,,,,,,,False,,True,,True,,True,True,True,True,False,,,https://cpwshop.com/unifSearch.do?keyword=Lake+Pueblo+State+Park,,,,,ChIJdSl26HiZE4cR3tUzLI3O2Sw,https://www.google.com/maps/search/?api=1&query=Lake+Pueblo+State+Park&query_place_id=ChIJdSl26HiZE4cR3tUzLI3O2Sw,4.6,4465,,,,,,,,"Boasting over 4,600 surface acres of water, this park features canyon walls, marinas, swim beaches, and extensive camping opportunities.","Boasting over 4,600 surface acres of water, this park features canyon walls, marinas, swim beaches, and extensive camping opportunities.",,2026-05-24 18:00:00
Mueller State Park,mueller-state-park,CO,https://cpw.state.co.us/parks/mueller-state-park,"21045 Highway 67, Divide, CO 80814",38.9207139,-105.1586607,,,,True,132,True,20,True,40,,,,,,,,,,False,,True,,False,,True,True,False,False,False,,,https://cpwshop.com/unifSearch.do?keyword=Mueller+State+Park,,,,,ChIJ1XDaNHeuFIcRr9j0VY96hs4,https://www.google.com/maps/search/?api=1&query=Mueller+State+Park&query_place_id=ChIJ1XDaNHeuFIcRr9j0VY96hs4,4.8,1851,,,,,,,,"Located near Pikes Peak, Mueller features 5,000 acres of spring meadows, granite ridges, pine forests, and excellent wildlife viewing.","Located near Pikes Peak, Mueller features 5,000 acres of spring meadows, granite ridges, pine forests, and excellent wildlife viewing.",,2026-05-24 18:00:00
Ridgway State Park,ridgway-state-park,CO,https://cpw.state.co.us/parks/ridgway-state-park,"28555 Highway 550, Ridgway, CO 81432",38.2229362,-107.7417861,,,,True,280,True,30,False,40,,,,,,,,,,False,,True,,True,,True,True,True,True,False,,,https://cpwshop.com/unifSearch.do?keyword=Ridgway+State+Park,,,,,ChIJJ_3D-Ls-P4cRhx359u6etqM,https://www.google.com/maps/search/?api=1&query=Ridgway+State+Park&query_place_id=ChIJJ_3D-Ls-P4cRhx359u6etqM,4.7,1890,,,,,,,,"Framed by the dramatic San Juan Mountains, Ridgway features a beautiful reservoir, sandy beach, modern campsites, and paved walking paths.","Framed by the dramatic San Juan Mountains, Ridgway features a beautiful reservoir, sandy beach, modern campsites, and paved walking paths.",,2026-05-24 18:00:00
