park_name,park_slug,state,park_url,address,latitude,longitude,phone_general,phone_camping,phone_other,has_rv_camping,rv_sites_count,has_tent_camping,tent_sites_count,primitive_camping,max_rig_length_ft,pull_through_available,electric_30amp,electric_50amp,water_hookup,sewer_hookup,dump_station,full_hookups,showers,laundry,wifi,cell_signal_notes,pet_friendly,ada_sites,waterfront_sites,lake_river_access,hiking,fishing,swimming,boat_ramp,golf,open_year_round,seasonal_notes,reservation_url,ada_restrooms,ada_trails,ada_water_access,overall_rating,google_place_id,google_maps_url,google_rating,google_review_count,rating_site_quality,rating_hookup_reliability,rating_cleanliness,rating_scenery,rating_connectivity,rating_noise,rating_value,description_text,campground_text,sub_page_urls,scraped_at
Hammonasset Beach State Park,hammonasset-beach-state-park,CT,https://ctparks.com/parks/hammonasset-beach-state-park,"1288 Boston Post Rd, Madison, CT 06443",41.2731622,-72.5696867,,,,True,550,True,50,False,35,,,,,,,,,,False,,False,,True,,True,True,True,False,False,,,https://www.reserveamerica.com/unifSearch.do?keyword=Hammonasset+Beach+State+Park,,,,,ChIJnf75gt0o5okRxNdw7AdivbA,https://www.google.com/maps/search/?api=1&query=Hammonasset+Beach+State+Park&query_place_id=ChIJnf75gt0o5okRxNdw7AdivbA,4.5,2663,,,,,,,,"Connecticut's largest shoreline park offers over two miles of sandy beach, boardwalk walking, bicycling, and a massive coastal campground.","Connecticut's largest shoreline park offers over two miles of sandy beach, boardwalk walking, bicycling, and a massive coastal campground.",,2026-05-24 18:00:00
Rocky Neck State Park,rocky-neck-state-park,CT,https://ctparks.com/parks/rocky-neck-state-park,"244 W Main St, East Lyme, CT 06357",41.317393,-72.2409786,,,,True,160,True,40,False,30,,,,,,,,,,False,,False,,True,,True,True,True,False,False,,,https://www.reserveamerica.com/unifSearch.do?keyword=Rocky+Neck+State+Park,,,,,ChIJPXSArJEQ5okRidJILkl03B4,https://www.google.com/maps/search/?api=1&query=Rocky+Neck+State+Park&query_place_id=ChIJPXSArJEQ5okRidJILkl03B4,4.6,4551,,,,,,,,"Rocky Neck features a sandy beach on Long Island Sound, salt marsh boardwalks, historic stone pavilions, and wooded campgrounds.","Rocky Neck features a sandy beach on Long Island Sound, salt marsh boardwalks, historic stone pavilions, and wooded campgrounds.",,2026-05-24 18:00:00
Black Rock State Park,black-rock-state-park,CT,https://ctparks.com/parks/black-rock-state-park,"2065 Thomaston Rd, Watertown, CT 06795",41.6298393,-73.1022639,,,,True,78,True,20,False,25,,,,,,,,,,False,,False,,True,,True,True,True,False,False,,,https://www.reserveamerica.com/unifSearch.do?keyword=Black+Rock+State+Park,,,,,ChIJJTxx3pmV54kR4p5-TwcB1rA,https://www.google.com/maps/search/?api=1&query=Black+Rock+State+Park&query_place_id=ChIJJTxx3pmV54kR4p5-TwcB1rA,4.5,1443,,,,,,,,"Nestled in the scenic Litchfield Hills, Black Rock offers pond swimming, hiking trails to scenic vistas, and a heavily wooded campground.","Nestled in the scenic Litchfield Hills, Black Rock offers pond swimming, hiking trails to scenic vistas, and a heavily wooded campground.",,2026-05-24 18:00:00
Devil's Hopyard State Park,devils-hopyard-state-park,CT,https://ctparks.com/parks/devils-hopyard-state-park,"366 Hopyard Rd, East Haddam, CT 06423",41.4856693,-72.341798,,,,True,21,True,10,True,20,,,,,,,,,,False,,False,,True,,True,True,False,False,False,,,https://www.reserveamerica.com/unifSearch.do?keyword=Devil's+Hopyard+State+Park,,,,,ChIJ0wDd-AhA5okRRiRsYMJJss4,https://www.google.com/maps/search/?api=1&query=Devil%27s+Hopyard+State+Park&query_place_id=ChIJ0wDd-AhA5okRRiRsYMJJss4,4.7,1916,,,,,,,,"Famous for Chapman Falls and historic stone bridges, Devil's Hopyard features quiet, heavily shaded campsites along a rushing trout stream.","Famous for Chapman Falls and historic stone bridges, Devil's Hopyard features quiet, heavily shaded campsites along a rushing trout stream.",,2026-05-24 18:00:00
Hopeville Pond State Park,hopeville-pond-state-park,CT,https://ctparks.com/parks/hopeville-pond-state-park,"929 Hopeville Rd, Griswold, CT 06351",41.6018706,-71.9272716,,,,True,80,True,20,False,25,,,,,,,,,,False,,False,,True,,True,True,True,True,False,,,https://www.reserveamerica.com/unifSearch.do?keyword=Hopeville+Pond+State+Park,,,,,ChIJe8KLB7jX5YkR-Jy5g-x9dOQ,https://www.google.com/maps/search/?api=1&query=Hopeville+Pond+State+Park&query_place_id=ChIJe8KLB7jX5YkR-Jy5g-x9dOQ,4.6,946,,,,,,,,"Set in a historical mill pond area, Hopeville Pond offers water sports, fishing, beach swimming, and quiet wooded campsites.","Set in a historical mill pond area, Hopeville Pond offers water sports, fishing, beach swimming, and quiet wooded campsites.",,2026-05-24 18:00:00
Housatonic Meadows State Park,housatonic-meadows-state-park,CT,https://ctparks.com/parks/housatonic-meadows-state-park,"90 US-7, Sharon, CT 06069",41.8378662,-73.3804096,,,,True,95,True,30,False,30,,,,,,,,,,False,,False,,True,,True,True,False,False,False,,,https://www.reserveamerica.com/unifSearch.do?keyword=Housatonic+Meadows+State+Park,,,,,ChIJAQAA8FqE54kR81a9db5By-c,https://www.google.com/maps/search/?api=1&query=Housatonic+Meadows+State+Park&query_place_id=ChIJAQAA8FqE54kR81a9db5By-c,4.7,251,,,,,,,,"Situated directly along the beautiful Housatonic River, this pine-forested park is popular for fly fishing and rustic riverside camping.","Situated directly along the beautiful Housatonic River, this pine-forested park is popular for fly fishing and rustic riverside camping.",,2026-05-24 18:00:00
Lake Waramaug State Park,lake-waramaug-state-park,CT,https://ctparks.com/parks/lake-waramaug-state-park,"30 Lake Waramaug Rd, New Preston, CT 06777",41.7059282,-73.3834121,,,,True,76,True,10,False,25,,,,,,,,,,False,,False,,True,,False,True,True,False,False,,,https://www.reserveamerica.com/unifSearch.do?keyword=Lake+Waramaug+State+Park,,,,,ChIJfXe1Io-L54kRNBRtx2RUvXk,https://www.google.com/maps/search/?api=1&query=Lake+Waramaug+State+Park&query_place_id=ChIJfXe1Io-L54kRNBRtx2RUvXk,4.6,507,,,,,,,,"Offers spectacular water views on Lake Waramaug, canoe rentals, swimming, fishing, and scenic shoreline camping.","Offers spectacular water views on Lake Waramaug, canoe rentals, swimming, fishing, and scenic shoreline camping.",,2026-05-24 18:00:00
Macedonia Brook State Park,macedonia-brook-state-park,CT,https://ctparks.com/parks/macedonia-brook-state-park,"159 Macedonia Brook Rd, Kent, CT 06757",41.7697627,-73.4992124,,,,True,51,True,20,True,20,,,,,,,,,,False,,False,,True,,True,True,False,False,False,,,https://www.reserveamerica.com/unifSearch.do?keyword=Macedonia+Brook+State+Park,,,,,ChIJrSPKBURi3YkRGbE-KCqiP7o,https://www.google.com/maps/search/?api=1&query=Macedonia+Brook+State+Park&query_place_id=ChIJrSPKBURi3YkRGbE-KCqiP7o,4.7,222,,,,,,,,"Macedonia Brook features a rugged trail network, mountain streams, scenic gorge views, and quiet rustic campsites.","Macedonia Brook features a rugged trail network, mountain streams, scenic gorge views, and quiet rustic campsites.",,2026-05-24 18:00:00
Mashamoquet Brook State Park,mashamoquet-brook-state-park,CT,https://ctparks.com/parks/mashamoquet-brook-state-park,"147 Wolf Den Rd, Pomfret Center, CT 06259",41.8493562,-71.9783268,,,,True,53,True,15,False,25,,,,,,,,,,False,,False,,True,,True,True,True,False,False,,,https://www.reserveamerica.com/unifSearch.do?keyword=Mashamoquet+Brook+State+Park,,,,,ChIJsY7hM1yC5okRg_HXKiX_gQo,https://www.google.com/maps/search/?api=1&query=Mashamoquet+Brook+State+Park&query_place_id=ChIJsY7hM1yC5okRg_HXKiX_gQo,4.5,501,,,,,,,,"Home to the historical Wolf Den cave, the park offers wooded campgrounds, streams, hiking trails, and a pond swimming area.","Home to the historical Wolf Den cave, the park offers wooded campgrounds, streams, hiking trails, and a pond swimming area.",,2026-05-24 18:00:00
Kettletown State Park,kettletown-state-park,CT,https://ctparks.com/parks/kettletown-state-park,"1400 Georges Hill Rd, Southbury, CT 06488",41.431653,-73.201621,,,,True,60,True,20,False,30,,,,,,,,,,False,,False,,True,,True,True,False,False,False,,,https://www.reserveamerica.com/unifSearch.do?keyword=Kettletown+State+Park,,,,,ChIJP7CpcUrk54kRq23F7fi6WCA,https://www.google.com/maps/search/?api=1&query=Kettletown+State+Park&query_place_id=ChIJP7CpcUrk54kRq23F7fi6WCA,4.5,581,,,,,,,,"Located on the shores of Lake Zoar on the Housatonic River, Kettletown offers extensive hiking trails, vistas, and shaded campsites.","Located on the shores of Lake Zoar on the Housatonic River, Kettletown offers extensive hiking trails, vistas, and shaded campsites.",,2026-05-24 18:00:00
