park_name,park_slug,state,park_url,address,latitude,longitude,phone_general,phone_camping,phone_other,has_rv_camping,rv_sites_count,has_tent_camping,tent_sites_count,primitive_camping,max_rig_length_ft,pull_through_available,electric_30amp,electric_50amp,water_hookup,sewer_hookup,dump_station,full_hookups,showers,laundry,wifi,cell_signal_notes,pet_friendly,ada_sites,waterfront_sites,lake_river_access,hiking,fishing,swimming,boat_ramp,golf,open_year_round,seasonal_notes,reservation_url,ada_restrooms,ada_trails,ada_water_access,overall_rating,google_place_id,google_maps_url,google_rating,google_review_count,rating_site_quality,rating_hookup_reliability,rating_cleanliness,rating_scenery,rating_connectivity,rating_noise,rating_value,description_text,campground_text,sub_page_urls,scraped_at
Cape Henlopen State Park,cape-henlopen-state-park,DE,https://destateparks.com/park/cape-henlopen/,"15099 Cape Henlopen Dr, Lewes, DE 19958",,,302-645-8983,877-987-2757,,True,160,True,20,True,45,True,True,True,True,False,True,False,True,True,False,,True,True,True,True,True,True,True,False,False,True,,https://delawarestateparks.reserveamerica.com/unifSearch.do?keyword=Cape+Henlopen+State+Park,True,True,False,,ChIJN17aSdS2uIkRQXrfecfsBe8,https://www.google.com/maps/search/?api=1&query=Cape+Henlopen+State+Park&query_place_id=ChIJN17aSdS2uIkRQXrfecfsBe8,4.8,8381,,,,,,,,"Cape Henlopen State Park offers beautiful ocean beaches, historic pine forests, trails, and campsites on the historic Delaware bay.","Cape Henlopen State Park campground features newly renovated campsites with water and electric hook-ups (50 and 100 amp), fire rings, picnic tables, and laundry facilities.",,2026-05-29 13:05:09
Delaware Seashore State Park,delaware-seashore-state-park,DE,https://destateparks.com/park/delaware-seashore/,"39415 Inlet Rd, Rehoboth Beach, DE 19971",,,302-227-2800,877-987-2757,,True,145,True,20,False,45,True,True,True,True,True,True,True,True,False,False,,True,True,True,True,True,True,True,True,False,True,,https://delawarestateparks.reserveamerica.com/unifSearch.do?keyword=Delaware+Seashore+State+Park,True,True,True,,ChIJqYOf0ubNuIkRB4zm6wfZY3M,https://www.google.com/maps/search/?api=1&query=Delaware+Seashore+State+Park&query_place_id=ChIJqYOf0ubNuIkRB4zm6wfZY3M,4.6,1195,,,,,,,,"Delaware Seashore State Park features sandy beaches and campsites on both sides of the Indian River Inlet, with full hook-up sites and tent sites.","Delaware Seashore State Park campground offers campsites on both the north and south sides of the Indian River Inlet, featuring full hookups (electric, water, sewer) and beach access.",,2026-05-29 13:05:09
Killens Pond State Park,killens-pond-state-park,DE,https://destateparks.com/park/killens-pond/,"5025 Killens Pond Rd, Felton, DE 19943",,,302-284-4526,877-987-2757,,True,59,True,25,True,40,False,True,True,True,False,True,False,True,True,False,,True,True,True,True,True,True,True,False,False,True,,https://delawarestateparks.reserveamerica.com/unifSearch.do?keyword=Killens+Pond+State+Park,True,True,False,,ChIJAWLQc7CEuIkRFx2jPJk_MP4,https://www.google.com/maps/search/?api=1&query=Killens+Pond+State+Park&query_place_id=ChIJAWLQc7CEuIkRFx2jPJk_MP4,4.6,2345,,,,,,,,"Killens Pond State Park is situated around a scenic pond in central Delaware, offering a water park, boat rentals, and shaded campsites.","Killens Pond State Park campground is located in a lovely pine-forested area, offering electric/water hookup sites, a water park, and family-friendly amenities.",,2026-05-29 13:05:09
Lums Pond State Park,lums-pond-state-park,DE,https://destateparks.com/park/lums-pond/,"1068 Howell School Rd, Bear, DE 19701",,,302-368-6989,877-987-2757,,True,68,True,20,True,40,True,True,True,True,True,True,True,True,False,False,,True,True,True,True,True,True,True,True,False,True,,https://delawarestateparks.reserveamerica.com/unifSearch.do?keyword=Lums+Pond+State+Park,True,True,False,,ChIJW9RvZomnx4kRPYy2EaXc1JQ,https://www.google.com/maps/search/?api=1&query=Lums+Pond+State+Park&query_place_id=ChIJW9RvZomnx4kRPYy2EaXc1JQ,4.7,3569,,,,,,,,"Lums Pond State Park surrounds Delaware's largest freshwater pond, offering ziplines, boating, and a newly renovated campground with full hookups.","Lums Pond State Park campground is newly upgraded to feature full hookup sites (electric, water, sewer) alongside the pond, with access to boating and zip lining.",,2026-05-29 13:05:09
Trap Pond State Park,trap-pond-state-park,DE,https://destateparks.com/park/trap-pond/,"33587 Baldcypress Ln, Laurel, DE 19956",,,302-875-5153,877-987-2757,,True,130,True,30,True,35,False,True,True,True,False,True,False,True,False,False,,True,True,True,True,True,True,False,True,False,True,,https://delawarestateparks.reserveamerica.com/unifSearch.do?keyword=Trap+Pond+State+Park,True,True,False,,ChIJxawvSUXkuIkR96W_tM_pXHU,https://www.google.com/maps/search/?api=1&query=Trap+Pond+State+Park&query_place_id=ChIJxawvSUXkuIkR96W_tM_pXHU,4.7,1614,,,,,,,,"Trap Pond State Park features the northernmost natural stand of baldcypress trees in North America, with peaceful swamp boating and wooded campsites.","Trap Pond State Park campground is nestled under the loblolly pines, featuring electric/water hookups, pontoon boat tours, and canoe rentals.",,2026-05-29 13:05:09
Alapocas Run State Park,alapocas-run-state-park,DE,https://destateparks.com/park/alapocas-run/,"1914 W Park Dr, Wilmington, DE 19803",,,302-577-1164,,,False,0,False,0,False,0,False,False,False,False,False,False,False,False,False,False,,True,False,False,False,True,False,False,False,False,True,,,True,True,False,,ChIJp1LqkOP8xokRVwU_KBIKXqc,https://www.google.com/maps/search/?api=1&query=Alapocas+Run+State+Park&query_place_id=ChIJp1LqkOP8xokRVwU_KBIKXqc,4.7,224,,,,,,,,"Alapocas Run State Park is a scenic park in Wilmington featuring rock climbing, hiking trails, and beautiful canopy woodlands.",,,2026-05-29 13:05:09
Auburn Valley State Park,auburn-valley-state-park,DE,https://destateparks.com/park/auburn-valley/,"630 Benge Rd, Yorklyn, DE 19736",,,302-239-5687,,,False,0,False,0,False,0,False,False,False,False,False,False,False,False,False,False,,True,False,False,False,True,False,False,False,False,True,,,True,True,False,,ChIJSdABCzz_xokR9-VWdBpvg0c,https://www.google.com/maps/search/?api=1&query=Auburn+Valley+State+Park&query_place_id=ChIJSdABCzz_xokR9-VWdBpvg0c,4.7,205,,,,,,,,"Auburn Valley State Park preserves the history of the Marshall family and the scenic Red Clay Creek valley, featuring hiking and historic steam car displays.",,,2026-05-29 13:05:09
Bellevue State Park,bellevue-state-park,DE,https://destateparks.com/park/bellevue-state-park/,"800 Carr Rd, Wilmington, DE 19809",,,302-761-6963,,,False,0,False,0,False,0,False,False,False,False,False,False,False,False,False,False,,True,False,False,False,True,True,False,False,False,True,,,True,True,False,,ChIJNTGafhPjxokRe87tS9vplo8,https://www.google.com/maps/search/?api=1&query=Bellevue+State+Park&query_place_id=ChIJNTGafhPjxokRe87tS9vplo8,4.7,1766,,,,,,,,"Bellevue State Park is the former estate of William du Pont, Jr., offering horseback riding, tennis, fishing, and beautiful walking trails.",,,2026-05-29 13:05:09
Brandywine Creek State Park,brandywine-creek-state-park,DE,https://destateparks.com/park/brandywine-creek/,"41 Adams Dam Rd, Wilmington, DE 19807",,,302-577-3534,,,False,0,False,0,False,0,False,False,False,False,False,False,False,False,False,False,,True,False,False,True,True,True,False,False,False,True,,,True,True,False,,ChIJbVA7GID8xokReXWPFL4adsc,https://www.google.com/maps/search/?api=1&query=Brandywine+Creek+State+Park&query_place_id=ChIJbVA7GID8xokReXWPFL4adsc,4.7,1551,,,,,,,,"Brandywine Creek State Park features historic stone walls, wildflower meadows, and scenic trails along the Brandywine River.",,,2026-05-29 13:05:09
Brandywine Zoo,brandywine-zoo,DE,https://destateparks.com/park/brandywine-zoo/,"1001 N Park Dr, Wilmington, DE 19802",,,302-571-7747,,,False,0,False,0,False,0,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,True,,,True,True,False,,ChIJa4A1Ej39xokRMt_wxWnK7hE,https://www.google.com/maps/search/?api=1&query=Brandywine+Zoo&query_place_id=ChIJa4A1Ej39xokRMt_wxWnK7hE,4.2,888,,,,,,,,"The Brandywine Zoo is located in Wilmington's Brandywine Park, featuring a variety of exotic animals and educational programs.",,,2026-05-29 13:05:09
