park_name,park_slug,state,park_url,address,latitude,longitude,phone_general,phone_camping,phone_other,has_rv_camping,rv_sites_count,has_tent_camping,tent_sites_count,primitive_camping,max_rig_length_ft,pull_through_available,electric_30amp,electric_50amp,water_hookup,sewer_hookup,dump_station,full_hookups,showers,laundry,wifi,cell_signal_notes,pet_friendly,ada_sites,waterfront_sites,lake_river_access,hiking,fishing,swimming,boat_ramp,golf,open_year_round,seasonal_notes,reservation_url,ada_restrooms,ada_trails,ada_water_access,overall_rating,google_place_id,google_maps_url,google_rating,google_review_count,rating_site_quality,rating_hookup_reliability,rating_cleanliness,rating_scenery,rating_connectivity,rating_noise,rating_value,description_text,campground_text,sub_page_urls,scraped_at
Bahia Honda State Park,bahia-honda-state-park,FL,https://www.floridastateparks.org/parks-and-destinations/bahia-honda-state-park,"36850 Overseas Hwy, Big Pine Key, FL 33043",24.6695537,-81.3521715,305-872-2353,800-326-3521,,True,80,True,80,False,40,True,True,True,True,False,True,False,True,False,False,,True,True,True,True,True,True,True,True,False,True,,https://reserve.floridastateparks.org/,True,True,True,,,,,,,,,,,,,"Bahia Honda State Park offers a tropical paradise in the Florida Keys with beautiful sandy beaches, clear waters, and spectacular sunset views.","Campground offers waterfront and standard RV and tent sites across Buttonwood, Bayside, and Sandspur areas, with bathhouses and dump station access.",,2026-05-29 15:12:51
Anastasia State Park,anastasia-state-park,FL,https://www.floridastateparks.org/parks-and-destinations/anastasia-state-park,"300 Anastasia Park Rd, St. Augustine, FL 32080",29.8792269,-81.2835249,904-461-2033,800-326-3521,,True,139,True,139,False,38,False,True,True,True,False,True,False,True,False,False,,True,True,False,True,True,True,True,False,False,True,,https://reserve.floridastateparks.org/,True,True,True,,,,,,,,,,,,,"Anastasia State Park features four miles of pristine white quartz sand beaches, tidal marshes, maritime hammocks, and sand dunes.","Shaded campsites nestled in maritime hammock canopy, all with electricity, water, picnic tables, and fire rings, steps from the beach.",,2026-05-29 15:12:51
Grayton Beach State Park,grayton-beach-state-park,FL,https://www.floridastateparks.org/parks-and-destinations/grayton-beach-state-park,"357 Main Park Rd, Santa Rosa Beach, FL 32459",30.3293237,-86.1566576,850-267-8300,800-326-3521,,True,59,True,59,False,40,True,True,True,True,True,True,True,True,False,False,,True,True,True,True,True,True,True,True,False,True,,https://reserve.floridastateparks.org/,True,True,True,,,,,,,,,,,,,"Grayton Beach State Park features stunning white sand beaches, coastal dune lakes, pine flatwoods, and nature trails.","Campground offers full-facility hookups including sewer, water, and 30/50-amp power, along with 30 modern cabins.",,2026-05-29 15:12:51
Myakka River State Park,myakka-river-state-park,FL,https://www.floridastateparks.org/parks-and-destinations/myakka-river-state-park,"13208 State Rd 72, Sarasota, FL 34241",27.2454686,-82.3756014,941-923-1120,800-326-3521,,True,90,True,90,True,35,False,True,True,True,False,True,False,True,False,False,,True,True,False,True,True,True,False,True,False,True,,https://reserve.floridastateparks.org/,True,True,False,,,,,,,,,,,,,"Myakka River State Park protects one of the state's oldest and largest wilderness areas, featuring wetlands, prairies, hammocks, and pinelands.","Three campgrounds offer water and electric hookups (30/50-amp), fire rings, and picnic tables in shaded hammock settings.",,2026-05-29 15:12:51
Blue Spring State Park,blue-spring-state-park,FL,https://www.floridastateparks.org/parks-and-destinations/blue-spring-state-park,"2100 W French Ave, Orange City, FL 32763",28.9521766,-81.3338642,386-775-3663,800-326-3521,,True,51,True,51,False,40,False,True,True,True,False,True,False,True,False,False,,True,True,False,True,True,True,True,True,False,True,,https://reserve.floridastateparks.org/,True,True,False,,,,,,,,,,,,,"Blue Spring State Park is a designated manatee refuge, famous for the hundreds of West Indian manatees that gather in its crystal-clear 73-degree waters during winter.","Located under oak hammock canopy, campsites provide water and electricity. Six two-bedroom cabins are also available.",,2026-05-29 15:12:51
Hillsborough River State Park,hillsborough-river-state-park,FL,https://www.floridastateparks.org/parks-and-destinations/hillsborough-river-state-park,"15402 US-301, Thonotosassa, FL 33592",28.0518888,-82.3348441,813-987-6771,800-326-3521,,True,112,True,112,True,50,True,True,True,True,False,True,False,True,True,False,,True,True,False,True,True,True,True,False,False,True,,https://reserve.floridastateparks.org/,True,True,False,,,,,,,,,,,,,"Hillsborough River State Park features rare Class II rapids along the river, historic suspension bridges, hiking trails, and a giant swimming pool.","Spacious campsites with water, fire rings, picnic tables, and electricity, supporting large RVs and primitive camping.",,2026-05-29 15:12:51
Jonathan Dickinson State Park,jonathan-dickinson-state-park,FL,https://www.floridastateparks.org/parks-and-destinations/jonathan-dickinson-state-park,"16450 SE Federal Hwy, Hobe Sound, FL 33455",27.0017416,-80.1368728,772-546-2771,800-326-3521,,True,142,True,142,True,45,True,True,True,True,True,True,True,True,False,False,,True,True,False,True,True,True,False,True,False,True,,https://reserve.floridastateparks.org/,True,True,False,,,,,,,,,,,,,"Jonathan Dickinson State Park is a massive state park containing coastal sand pine scrub, pine flatwoods, mangrove swamps, and the Loxahatchee River.","Pine Grove and River Campgrounds offer full-hookups (sewer, water, electric) along with primitive wilderness backpack sites.",,2026-05-29 15:12:51
St. Andrews State Park,st-andrews-state-park,FL,https://www.floridastateparks.org/parks-and-destinations/st-andrews-state-park,"4607 State Park Ln, Panama City Beach, FL 32408",30.1298383,-85.7310823,850-708-6100,800-326-3521,,True,176,True,176,False,45,False,True,True,True,False,True,False,True,True,False,,True,True,True,True,True,True,True,True,False,True,,https://reserve.floridastateparks.org/,True,True,True,,,,,,,,,,,,,"Bordered by the Gulf of Mexico and Grand Lagoon, St. Andrews State Park features white sand beaches, pine forests, and rich marine life.","Campground situated along the Grand Lagoon with water and electric hookup sites, playgrounds, bathhouses, and laundry facilities.",,2026-05-29 15:12:51
Kissimmee Prairie Preserve State Park,kissimmee-prairie-preserve-state-park,FL,https://www.floridastateparks.org/parks-and-destinations/kissimmee-prairie-preserve-state-park,"33104 NW 192nd Ave, Okeechobee, FL 34972",27.5430238,-81.022791,863-467-0076,800-326-3521,,True,35,True,35,True,50,False,True,True,True,False,True,False,True,False,False,,True,True,False,False,True,False,False,False,False,True,,https://reserve.floridastateparks.org/,True,False,False,,,,,,,,,,,,,"Kissimmee Prairie Preserve State Park protects the largest remaining stretch of Florida's dry prairie, and is Florida's first Dark Sky Park, recognized by the International Dark-Sky Association.","Secluded campground offers sites with water and electricity, as well as equestrian and primitive camping.",,2026-05-29 15:12:51
Florida Caverns State Park,florida-caverns-state-park,FL,https://www.floridastateparks.org/parks-and-destinations/florida-caverns-state-park,"3345 Caverns Rd, Marianna, FL 32446",30.8124482,-85.2027164,850-482-1228,800-326-3521,,True,38,True,38,False,40,True,True,True,True,True,True,True,True,False,False,,True,True,False,True,True,True,False,False,True,True,,https://reserve.floridastateparks.org/,True,True,False,,,,,,,,,,,,,"Florida Caverns State Park is the only state park in Florida offering public tours through dry, air-conditioned limestone caves adorned with stalactites and stalagmites.","Campsites feature full hookups (sewer, water, electric) along the scenic Chipola River basin.",,2026-05-29 15:12:51
