park_name,park_slug,state,park_url,address,latitude,longitude,phone_general,phone_camping,phone_other,has_rv_camping,rv_sites_count,has_tent_camping,tent_sites_count,primitive_camping,max_rig_length_ft,pull_through_available,electric_30amp,electric_50amp,water_hookup,sewer_hookup,dump_station,full_hookups,showers,laundry,wifi,cell_signal_notes,pet_friendly,ada_sites,waterfront_sites,lake_river_access,hiking,fishing,swimming,boat_ramp,golf,open_year_round,seasonal_notes,reservation_url,ada_restrooms,ada_trails,ada_water_access,overall_rating,google_place_id,google_maps_url,google_rating,google_review_count,rating_site_quality,rating_hookup_reliability,rating_cleanliness,rating_scenery,rating_connectivity,rating_noise,rating_value,description_text,campground_text,sub_page_urls,scraped_at
Cloudland Canyon State Park,cloudland-canyon-state-park,GA,https://gastateparks.org/CloudlandCanyon,"122 Cloudland Canyon Park Rd, Rising Fawn, GA 30738",34.8178321,-85.4872761,706-657-4050,800-864-7275,,True,72,True,72,True,50,True,True,True,True,False,True,False,True,False,False,,True,True,False,False,True,False,False,False,False,True,,https://gastateparks.org/CloudlandCanyon,True,True,False,,ChIJjwHU-eJIYIgRKirEmvMGiDs,https://www.google.com/maps/search/?api=1&query=Cloudland+Canyon+State+Park&query_place_id=ChIJjwHU-eJIYIgRKirEmvMGiDs,4.8,7321,,,,,,,,Cloudland Canyon State Park | Department Of Natural Resources Division Skip to main content An official website of the State of Georgia. State Organizations A-Z Department of Natural Resources Wildlife Resources Law Enforcement Environmental Protection Coastal Resources Search : Search Search Find a Park Reservations Careers Buy ParkPass All Events Account Toggle submenu Reservation Account Volunteer Account DNR Menu Toggle submenu Activities Places Education Accommodations & Camping Licenses Enforcement Activities Places Education Accommodations & Camping Licenses Enforcement 1 2 3 4 5 6 State Park Golf Cup Sign Up Now Brand New Specialty License Plate Summer Adventures Activities for everyone America's 250th Commemorative ParkPass Plan Your Weekend View weekend availability Park Clubs Choose your adventure Previous Next 1 2 3 Cloudland Canyon State Park Rising Fawn State Park Rising Fawn Cloudland Canyon State Park Rising Fawn State Park Rising Fawn Cloudland Canyon State Park Rising,"Campground offers spacious RV and tent sites with water and electricity (30/50-amp), walk-in sites, yurts, and cozy cottages.",,2026-05-29 15:13:17
Vogel State Park,vogel-state-park,GA,https://gastateparks.org/Vogel,"405 Vogel State Park Rd, Blairsville, GA 30512",34.76294,-83.9284301,706-745-2628,800-864-7275,,True,90,True,90,True,40,False,True,True,True,False,True,False,True,False,False,,True,True,True,True,True,True,True,False,False,True,,https://gastateparks.org/Vogel,True,True,True,,ChIJw7l55C4-X4gRaxEzvyaZ_7o,https://www.google.com/maps/search/?api=1&query=Vogel+State+Park&query_place_id=ChIJw7l55C4-X4gRaxEzvyaZ_7o,4.8,4750,,,,,,,,Vogel State Park | Department Of Natural Resources Division Skip to main content An official website of the State of Georgia. State Organizations A-Z Department of Natural Resources Wildlife Resources Law Enforcement Environmental Protection Coastal Resources Search : Search Search Find a Park Reservations Careers Buy ParkPass All Events Account Toggle submenu Reservation Account Volunteer Account DNR Menu Toggle submenu Activities Places Education Accommodations & Camping Licenses Enforcement Activities Places Education Accommodations & Camping Licenses Enforcement 1 2 3 4 5 6 State Park Golf Cup Sign Up Now Brand New Specialty License Plate Summer Adventures Activities for everyone America's 250th Commemorative ParkPass Plan Your Weekend View weekend availability Park Clubs Choose your adventure Previous Next 1 Vogel State Park Blairsville State Park ​Blairsville Previous Next Lake Trahlyta is currently drained for necessary dam repairs and maintenance. The Lake Trahlyta Loop Trail a,"Campsites sit near the lake or creek, with water and electricity, as well as cottages and walk-in primitive sites.",,2026-05-29 15:13:17
Red Top Mountain State Park,red-top-mountain-state-park,GA,https://gastateparks.org/RedTopMountain,"50 Lodge Rd SE, Cartersville, GA 30121",34.1467586,-84.7076515,770-975-0055,800-864-7275,,True,93,True,93,False,45,True,True,True,True,False,True,False,True,False,False,,True,True,True,True,True,True,True,True,False,True,,https://gastateparks.org/RedTopMountain,True,True,True,,ChIJqcdKDRRE9YgRvNQQXmmEbv8,https://www.google.com/maps/search/?api=1&query=Red+Top+Mountain+State+Park&query_place_id=ChIJqcdKDRRE9YgRvNQQXmmEbv8,4.7,6374,,,,,,,,"Red Top Mountain State Park | Department Of Natural Resources Division Skip to main content An official website of the State of Georgia. State Organizations A-Z Department of Natural Resources Wildlife Resources Law Enforcement Environmental Protection Coastal Resources Search : Search Search Find a Park Reservations Careers Buy ParkPass All Events Account Toggle submenu Reservation Account Volunteer Account DNR Menu Toggle submenu Activities Places Education Accommodations & Camping Licenses Enforcement Activities Places Education Accommodations & Camping Licenses Enforcement 1 2 3 4 5 6 State Park Golf Cup Sign Up Now Brand New Specialty License Plate Summer Adventures Activities for everyone America's 250th Commemorative ParkPass Plan Your Weekend View weekend availability Park Clubs Choose your adventure Previous Next 1 2 RED TOP MOUNTAIN State Park Acworth Red Top Mountain State Park Acworth State Park Acworth Previous Next Please be advised, there may be blue green algae present ","Wooded campsites along the peninsula with water and electric hookups, plus yurts and modern cottages.",,2026-05-29 15:13:17
Fort Mountain State Park,fort-mountain-state-park,GA,https://gastateparks.org/FortMountain,"181 Fort Mountain Park Rd, Chatsworth, GA 30705",34.7651093,-84.7032923,706-695-2621,800-864-7275,,True,70,True,70,True,50,True,True,True,True,False,True,False,True,False,False,,True,True,True,True,True,True,True,False,False,True,,https://gastateparks.org/FortMountain,True,True,True,,ChIJsU9NBRfCX4gR7nytdHomLDw,https://www.google.com/maps/search/?api=1&query=Fort+Mountain+State+Park&query_place_id=ChIJsU9NBRfCX4gR7nytdHomLDw,4.8,3390,,,,,,,,Fort Mountain State Park | Department Of Natural Resources Division Skip to main content An official website of the State of Georgia. State Organizations A-Z Department of Natural Resources Wildlife Resources Law Enforcement Environmental Protection Coastal Resources Search : Search Search Find a Park Reservations Careers Buy ParkPass All Events Account Toggle submenu Reservation Account Volunteer Account DNR Menu Toggle submenu Activities Places Education Accommodations & Camping Licenses Enforcement Activities Places Education Accommodations & Camping Licenses Enforcement 1 2 3 4 5 6 State Park Golf Cup Sign Up Now Brand New Specialty License Plate Summer Adventures Activities for everyone America's 250th Commemorative ParkPass Plan Your Weekend View weekend availability Park Clubs Choose your adventure Previous Next 1 2 3 Fort Mountain State Park Chatsworth Fort Mountain State Park Chatsworth Fort Mountain State Park Chatsworth State Park Chatsworth Previous Next Home Fort Mountain ,"Campsites feature water and electricity, along with unique platform campsites, walk-in sites, and cottages.",,2026-05-29 15:13:17
Tallulah Gorge State Park,tallulah-gorge-state-park,GA,https://gastateparks.org/TallulahGorge,"338 Jane Hurt Yarn Dr, Tallulah Falls, GA 30573",34.7335386,-83.3722581,706-754-7981,800-864-7275,,True,50,True,50,True,40,False,True,True,True,False,True,False,True,False,False,,True,True,False,True,True,True,True,False,False,True,,https://gastateparks.org/TallulahGorge,True,True,False,,ChIJoeaywP7GWIgRlPTAW1hzExI,https://www.google.com/maps/search/?api=1&query=Tallulah+Gorge+State+Park&query_place_id=ChIJoeaywP7GWIgRlPTAW1hzExI,4.8,6627,,,,,,,,Tallulah Gorge State Park | Department Of Natural Resources Division Skip to main content An official website of the State of Georgia. State Organizations A-Z Department of Natural Resources Wildlife Resources Law Enforcement Environmental Protection Coastal Resources Search : Search Search Find a Park Reservations Careers Buy ParkPass All Events Account Toggle submenu Reservation Account Volunteer Account DNR Menu Toggle submenu Activities Places Education Accommodations & Camping Licenses Enforcement Activities Places Education Accommodations & Camping Licenses Enforcement 1 2 3 4 5 6 State Park Golf Cup Sign Up Now Brand New Specialty License Plate Summer Adventures Activities for everyone America's 250th Commemorative ParkPass Plan Your Weekend View weekend availability Park Clubs Choose your adventure Previous Next 1 Tallulah Gorge State Park Tallulah Falls State Park Tallulah Falls Previous Next The Terrora Day Use Area Beach area will be closed for construction through August 20,"Campground offers shaded campsites with water and electric hookups, plus backcountry wilderness sites.",,2026-05-29 15:13:17
Unicoi State Park,unicoi-state-park,GA,https://gastateparks.org/Unicoi,"1788 Highway 356, Helen, GA 30545",34.7134978,-83.7261556,706-878-2201,800-864-7275,,True,82,True,82,True,40,False,True,True,True,True,True,True,True,True,False,,True,True,True,True,True,True,True,False,False,True,,https://gastateparks.org/Unicoi,True,True,True,,ChIJe7tfMsg3X4gR7hMeShzR1Qw,https://www.google.com/maps/search/?api=1&query=Unicoi+State+Park&query_place_id=ChIJe7tfMsg3X4gR7hMeShzR1Qw,4.5,4748,,,,,,,,Unicoi State Park & Lodge | Department Of Natural Resources Division Skip to main content An official website of the State of Georgia. State Organizations A-Z Department of Natural Resources Wildlife Resources Law Enforcement Environmental Protection Coastal Resources Search : Search Search Find a Park Reservations Careers Buy ParkPass All Events Account Toggle submenu Reservation Account Volunteer Account DNR Menu Toggle submenu Activities Places Education Accommodations & Camping Licenses Enforcement Activities Places Education Accommodations & Camping Licenses Enforcement 1 2 3 4 5 6 State Park Golf Cup Sign Up Now Brand New Specialty License Plate Summer Adventures Activities for everyone America's 250th Commemorative ParkPass Plan Your Weekend View weekend availability Park Clubs Choose your adventure Previous Next Home Unicoi State Park & Lodge Unicoi State Park & Lodge Unicoi State Park & Lodge Hi and thanks for visiting. This park is managed and operated by North Georgia Mounta,"Campground offers full hookups, water/electric sites, primitive squirrel nest camping, yurts, and historic barrel cabins.",,2026-05-29 15:13:17
Skidaway Island State Park,skidaway-island-state-park,GA,https://gastateparks.org/SkidawayIsland,"52 Diamond Causeway, Savannah, GA 31411",31.9565855,-81.0546012,912-598-2300,800-864-7275,,True,87,True,87,False,50,True,True,True,True,True,True,True,True,False,False,,True,True,False,True,True,False,False,False,False,True,,https://gastateparks.org/SkidawayIsland,True,True,False,,ChIJg5TuGrZ2-4gR5hhn4Hhkl-Q,https://www.google.com/maps/search/?api=1&query=Skidaway+Island+State+Park&query_place_id=ChIJg5TuGrZ2-4gR5hhn4Hhkl-Q,4.7,1913,,,,,,,,"Skidaway Island State Park | Department Of Natural Resources Division Skip to main content An official website of the State of Georgia. State Organizations A-Z Department of Natural Resources Wildlife Resources Law Enforcement Environmental Protection Coastal Resources Search : Search Search Find a Park Reservations Careers Buy ParkPass All Events Account Toggle submenu Reservation Account Volunteer Account DNR Menu Toggle submenu Activities Places Education Accommodations & Camping Licenses Enforcement Activities Places Education Accommodations & Camping Licenses Enforcement 1 2 3 4 5 6 State Park Golf Cup Sign Up Now Brand New Specialty License Plate Summer Adventures Activities for everyone America's 250th Commemorative ParkPass Plan Your Weekend View weekend availability Park Clubs Choose your adventure Previous Next 1 2 Skidaway Island State Park Savannah State Park Savannah Skidaway Island State Park Savannah State Park Savannah Previous Next Due to damage to the bridges, the Avi","Shaded campgrounds offer full-hookups (sewer, water, electric) or water/electric sites under massive live oaks.",,2026-05-29 15:13:17
Stephen C. Foster State Park,stephen-c-foster-state-park,GA,https://gastateparks.org/StephenCFoster,"17515 Highway 177, Fargo, GA 31631",30.8232187,-82.3647971,912-637-5274,800-864-7275,,True,64,True,64,False,40,False,True,True,True,True,True,True,True,False,False,,True,True,True,True,True,True,False,True,False,True,,https://gastateparks.org/StephenCFoster,True,True,True,,ChIJJ6cJUxaF74gReITyeUvdXLc,https://www.google.com/maps/search/?api=1&query=Stephen+C.+Foster+State+Park&query_place_id=ChIJJ6cJUxaF74gReITyeUvdXLc,4.7,976,,,,,,,,Stephen C. Foster State Park | Department Of Natural Resources Division Skip to main content An official website of the State of Georgia. State Organizations A-Z Department of Natural Resources Wildlife Resources Law Enforcement Environmental Protection Coastal Resources Search : Search Search Find a Park Reservations Careers Buy ParkPass All Events Account Toggle submenu Reservation Account Volunteer Account DNR Menu Toggle submenu Activities Places Education Accommodations & Camping Licenses Enforcement Activities Places Education Accommodations & Camping Licenses Enforcement 1 2 3 4 5 6 State Park Golf Cup Sign Up Now Brand New Specialty License Plate Summer Adventures Activities for everyone America's 250th Commemorative ParkPass Plan Your Weekend View weekend availability Park Clubs Choose your adventure Previous Next 1 Stephen C. Foster State Park Fargo State Park Fargo Previous Next Stephen C. Foster State Park will be undergoing a capital improvement project to replace the boat,"Campsites feature full hookups or water/electric hookups in a secluded swamp maritime forest setting, with boat rentals and guided swamp tours nearby.",,2026-05-29 15:13:17
F.D. Roosevelt State Park,fd-roosevelt-state-park,GA,https://gastateparks.org/FDRoosevelt,"2970 Highway 190, Pine Mountain, GA 31822",32.8664055,-84.7151308,706-663-4858,800-864-7275,,True,109,True,109,True,40,True,True,True,True,False,True,False,True,False,False,,True,True,True,True,True,True,True,False,False,True,,https://gastateparks.org/FDRoosevelt,True,True,False,,ChIJ-fH8SflQ84gRAoqgK_t_1oo,https://www.google.com/maps/search/?api=1&query=F.D.+Roosevelt+State+Park&query_place_id=ChIJ-fH8SflQ84gRAoqgK_t_1oo,4.7,1849,,,,,,,,F.D. Roosevelt State Park | Department Of Natural Resources Division Skip to main content An official website of the State of Georgia. State Organizations A-Z Department of Natural Resources Wildlife Resources Law Enforcement Environmental Protection Coastal Resources Search : Search Search Find a Park Reservations Careers Buy ParkPass All Events Account Toggle submenu Reservation Account Volunteer Account DNR Menu Toggle submenu Activities Places Education Accommodations & Camping Licenses Enforcement Activities Places Education Accommodations & Camping Licenses Enforcement 1 2 3 4 5 6 State Park Golf Cup Sign Up Now Brand New Specialty License Plate Summer Adventures Activities for everyone America's 250th Commemorative ParkPass Plan Your Weekend View weekend availability Park Clubs Choose your adventure Previous Next 1 2 3 4 F.D. Roosevelt State Park Pine Mountain State Park Pine Mountain F.D. Roosevelt State Park Pine Mountain State Park Pine Mountain F.D. Roosevelt State Park Pine,"Campsites border small lakes with electric and water hookups, alongside historic stone cabins and primitive hiking camps.",,2026-05-29 15:13:17
High Falls State Park,high-falls-state-park,GA,https://gastateparks.org/HighFalls,"76 High Falls Park Dr, Jackson, GA 30233",33.1784604,-84.0204537,478-993-3053,800-864-7275,,True,106,True,106,False,40,False,True,True,True,False,True,False,True,False,False,,True,True,True,True,True,True,True,True,False,True,,https://gastateparks.org/HighFalls,True,True,True,,ChIJufEmKiBs9IgRlm1VvWC9yE0,https://www.google.com/maps/search/?api=1&query=High+Falls+State+Park&query_place_id=ChIJufEmKiBs9IgRlm1VvWC9yE0,4.6,4957,,,,,,,,"High Falls State Park | Department Of Natural Resources Division Skip to main content An official website of the State of Georgia. State Organizations A-Z Department of Natural Resources Wildlife Resources Law Enforcement Environmental Protection Coastal Resources Search : Search Search Find a Park Reservations Careers Buy ParkPass All Events Account Toggle submenu Reservation Account Volunteer Account DNR Menu Toggle submenu Activities Places Education Accommodations & Camping Licenses Enforcement Activities Places Education Accommodations & Camping Licenses Enforcement 1 2 3 4 5 6 State Park Golf Cup Sign Up Now Brand New Specialty License Plate Summer Adventures Activities for everyone America's 250th Commemorative ParkPass Plan Your Weekend View weekend availability Park Clubs Choose your adventure Previous Next 1 High Falls State Park Jackson State Park Jackson Previous Next Home High Falls State Park High Falls State Park Reservation Events Photos Park Map Trail Map ""Marvel at th","Campsites include electric and water hookups, alongside lakefront glamping yurts and a swimming pool.",,2026-05-29 15:13:17
